country,time,cases_sum,cases_diff,deaths_sum,deaths_diff,source
Alto Biobío,2020-03-31,0,0,NA,NA,minsal
Alto Biobío,2020-04-01,0,0,NA,NA,minsal
Alto Biobío,2020-04-02,0,0,NA,NA,minsal
Alto Biobío,2020-04-03,0,0,NA,NA,minsal
Alto Biobío,2020-04-04,0,0,NA,NA,minsal
Alto Biobío,2020-04-05,0,0,NA,NA,minsal
Alto Biobío,2020-04-06,0,0,NA,NA,minsal
Alto Biobío,2020-04-07,0,0,NA,NA,minsal
Alto Biobío,2020-04-08,0,0,NA,NA,minsal
Alto Biobío,2020-04-09,0,0,NA,NA,minsal
Alto Biobío,2020-04-10,0,0,NA,NA,minsal
Alto Biobío,2020-04-11,0,0,NA,NA,minsal
Alto Biobío,2020-04-12,0,0,NA,NA,minsal
Alto Biobío,2020-04-13,0,0,NA,NA,minsal
Alto Biobío,2020-04-14,0.5,0.5,NA,NA,minsal
Alto Biobío,2020-04-15,1,0.5,NA,NA,minsal
Alto Biobío,2020-04-16,1.5,0.5,NA,NA,minsal
Alto Biobío,2020-04-17,2,0.5,NA,NA,minsal
Alto Biobío,2020-04-18,2.3333333333333335,0.3333333333333335,NA,NA,minsal
Alto Biobío,2020-04-19,2.6666666666666665,0.33333333333333304,NA,NA,minsal
Alto Biobío,2020-04-20,3,0.3333333333333335,NA,NA,minsal
Alto Biobío,2020-04-21,3,0,NA,NA,minsal
Alto Biobío,2020-04-22,3,0,NA,NA,minsal
Alto Biobío,2020-04-23,3,0,NA,NA,minsal
Alto Biobío,2020-04-24,3,0,NA,NA,minsal
Alto del Carmen,2020-03-30,0,0,NA,NA,minsal
Alto del Carmen,2020-03-31,0,0,NA,NA,minsal
Alto del Carmen,2020-04-01,0,0,NA,NA,minsal
Alto del Carmen,2020-04-02,0,0,NA,NA,minsal
Alto del Carmen,2020-04-03,0,0,NA,NA,minsal
Alto del Carmen,2020-04-04,0,0,NA,NA,minsal
Alto del Carmen,2020-04-05,0,0,NA,NA,minsal
Alto del Carmen,2020-04-06,0,0,NA,NA,minsal
Alto del Carmen,2020-04-07,0,0,NA,NA,minsal
Alto del Carmen,2020-04-08,0,0,NA,NA,minsal
Alto del Carmen,2020-04-09,0,0,NA,NA,minsal
Alto del Carmen,2020-04-10,0,0,NA,NA,minsal
Alto del Carmen,2020-04-11,0,0,NA,NA,minsal
Alto del Carmen,2020-04-12,0,0,NA,NA,minsal
Alto del Carmen,2020-04-13,0,0,NA,NA,minsal
Alto del Carmen,2020-04-14,0,0,NA,NA,minsal
Alto del Carmen,2020-04-15,0,0,NA,NA,minsal
Alto del Carmen,2020-04-16,0,0,NA,NA,minsal
Alto del Carmen,2020-04-17,0,0,NA,NA,minsal
Alto del Carmen,2020-04-18,0,0,NA,NA,minsal
Alto del Carmen,2020-04-19,0,0,NA,NA,minsal
Alto del Carmen,2020-04-20,0,0,NA,NA,minsal
Alto del Carmen,2020-04-21,0,0,NA,NA,minsal
Alto del Carmen,2020-04-22,0,0,NA,NA,minsal
Alto del Carmen,2020-04-23,0,0,NA,NA,minsal
Alto del Carmen,2020-04-24,0,0,NA,NA,minsal
Alto Hospicio,2020-03-30,0,0,NA,NA,minsal
Alto Hospicio,2020-03-31,0.5,0.5,NA,NA,minsal
Alto Hospicio,2020-04-01,1,0.5,NA,NA,minsal
Alto Hospicio,2020-04-02,2.5,1.5,NA,NA,minsal
Alto Hospicio,2020-04-03,4,1.5,NA,NA,minsal
Alto Hospicio,2020-04-04,5.666666666666666,1.666666666666666,NA,NA,minsal
Alto Hospicio,2020-04-05,7.333333333333333,1.666666666666667,NA,NA,minsal
Alto Hospicio,2020-04-06,9,1.666666666666667,NA,NA,minsal
Alto Hospicio,2020-04-07,12,3,NA,NA,minsal
Alto Hospicio,2020-04-08,15,3,NA,NA,minsal
Alto Hospicio,2020-04-09,20,5,NA,NA,minsal
Alto Hospicio,2020-04-10,25,5,NA,NA,minsal
Alto Hospicio,2020-04-11,29.666666666666664,4.666666666666664,NA,NA,minsal
Alto Hospicio,2020-04-12,34.33333333333333,4.666666666666664,NA,NA,minsal
Alto Hospicio,2020-04-13,39,4.666666666666671,NA,NA,minsal
Alto Hospicio,2020-04-14,46.5,7.5,NA,NA,minsal
Alto Hospicio,2020-04-15,54,7.5,NA,NA,minsal
Alto Hospicio,2020-04-16,62,8,NA,NA,minsal
Alto Hospicio,2020-04-17,70,8,NA,NA,minsal
Alto Hospicio,2020-04-18,79,9,NA,NA,minsal
Alto Hospicio,2020-04-19,88,9,NA,NA,minsal
Alto Hospicio,2020-04-20,97,9,NA,NA,minsal
Alto Hospicio,2020-04-21,106.75,9.75,NA,NA,minsal
Alto Hospicio,2020-04-22,116.5,9.75,NA,NA,minsal
Alto Hospicio,2020-04-23,126.25,9.75,NA,NA,minsal
Alto Hospicio,2020-04-24,136,9.75,NA,NA,minsal
Ancud,2020-03-30,0,0,NA,NA,minsal
Ancud,2020-03-31,0,0,NA,NA,minsal
Ancud,2020-04-01,0,0,NA,NA,minsal
Ancud,2020-04-02,0,0,NA,NA,minsal
Ancud,2020-04-03,0,0,NA,NA,minsal
Ancud,2020-04-04,0,0,NA,NA,minsal
Ancud,2020-04-05,0,0,NA,NA,minsal
Ancud,2020-04-06,0,0,NA,NA,minsal
Ancud,2020-04-07,1,1,NA,NA,minsal
Ancud,2020-04-08,2,1,NA,NA,minsal
Ancud,2020-04-09,3.5,1.5,NA,NA,minsal
Ancud,2020-04-10,5,1.5,NA,NA,minsal
Ancud,2020-04-11,6,1,NA,NA,minsal
Ancud,2020-04-12,7,1,NA,NA,minsal
Ancud,2020-04-13,8,1,NA,NA,minsal
Ancud,2020-04-14,9.5,1.5,NA,NA,minsal
Ancud,2020-04-15,11,1.5,NA,NA,minsal
Ancud,2020-04-16,12.5,1.5,NA,NA,minsal
Ancud,2020-04-17,14,1.5,NA,NA,minsal
Ancud,2020-04-18,16.666666666666668,2.666666666666668,NA,NA,minsal
Ancud,2020-04-19,19.333333333333332,2.6666666666666643,NA,NA,minsal
Ancud,2020-04-20,22,2.666666666666668,NA,NA,minsal
Ancud,2020-04-21,24.25,2.25,NA,NA,minsal
Ancud,2020-04-22,26.5,2.25,NA,NA,minsal
Ancud,2020-04-23,28.75,2.25,NA,NA,minsal
Ancud,2020-04-24,31,2.25,NA,NA,minsal
Andacollo,2020-03-30,0,0,NA,NA,minsal
Andacollo,2020-03-31,0,0,NA,NA,minsal
Andacollo,2020-04-01,0,0,NA,NA,minsal
Andacollo,2020-04-02,0,0,NA,NA,minsal
Andacollo,2020-04-03,0,0,NA,NA,minsal
Andacollo,2020-04-04,0,0,NA,NA,minsal
Andacollo,2020-04-05,0,0,NA,NA,minsal
Andacollo,2020-04-06,0,0,NA,NA,minsal
Andacollo,2020-04-07,0,0,NA,NA,minsal
Andacollo,2020-04-08,0,0,NA,NA,minsal
Andacollo,2020-04-09,0,0,NA,NA,minsal
Andacollo,2020-04-10,0,0,NA,NA,minsal
Andacollo,2020-04-11,0,0,NA,NA,minsal
Andacollo,2020-04-12,0,0,NA,NA,minsal
Andacollo,2020-04-13,0,0,NA,NA,minsal
Andacollo,2020-04-14,0,0,NA,NA,minsal
Andacollo,2020-04-15,0,0,NA,NA,minsal
Andacollo,2020-04-16,0,0,NA,NA,minsal
Andacollo,2020-04-17,0,0,NA,NA,minsal
Andacollo,2020-04-18,0,0,NA,NA,minsal
Andacollo,2020-04-19,0,0,NA,NA,minsal
Andacollo,2020-04-20,0,0,NA,NA,minsal
Andacollo,2020-04-21,0,0,NA,NA,minsal
Andacollo,2020-04-22,0,0,NA,NA,minsal
Andacollo,2020-04-23,0,0,NA,NA,minsal
Andacollo,2020-04-24,0,0,NA,NA,minsal
Angol,2020-03-30,7,0,NA,NA,minsal
Angol,2020-03-31,13.5,6.5,NA,NA,minsal
Angol,2020-04-01,20,6.5,NA,NA,minsal
Angol,2020-04-02,26,6,NA,NA,minsal
Angol,2020-04-03,32,6,NA,NA,minsal
Angol,2020-04-04,37,5,NA,NA,minsal
Angol,2020-04-05,42,5,NA,NA,minsal
Angol,2020-04-06,47,5,NA,NA,minsal
Angol,2020-04-07,58.5,11.5,NA,NA,minsal
Angol,2020-04-08,70,11.5,NA,NA,minsal
Angol,2020-04-09,82,12,NA,NA,minsal
Angol,2020-04-10,94,12,NA,NA,minsal
Angol,2020-04-11,103.33333333333333,9.333333333333329,NA,NA,minsal
Angol,2020-04-12,112.66666666666666,9.333333333333329,NA,NA,minsal
Angol,2020-04-13,122,9.333333333333343,NA,NA,minsal
Angol,2020-04-14,140,18,NA,NA,minsal
Angol,2020-04-15,158,18,NA,NA,minsal
Angol,2020-04-16,177,19,NA,NA,minsal
Angol,2020-04-17,196,19,NA,NA,minsal
Angol,2020-04-18,213,17,NA,NA,minsal
Angol,2020-04-19,230,17,NA,NA,minsal
Angol,2020-04-20,247,17,NA,NA,minsal
Angol,2020-04-21,265.75,18.75,NA,NA,minsal
Angol,2020-04-22,284.5,18.75,NA,NA,minsal
Angol,2020-04-23,303.25,18.75,NA,NA,minsal
Angol,2020-04-24,322,18.75,NA,NA,minsal
Antártica,2020-03-30,0,0,NA,NA,minsal
Antártica,2020-03-31,0,0,NA,NA,minsal
Antártica,2020-04-01,0,0,NA,NA,minsal
Antártica,2020-04-02,0,0,NA,NA,minsal
Antártica,2020-04-03,0,0,NA,NA,minsal
Antártica,2020-04-04,0,0,NA,NA,minsal
Antártica,2020-04-05,0,0,NA,NA,minsal
Antártica,2020-04-06,0,0,NA,NA,minsal
Antártica,2020-04-07,0,0,NA,NA,minsal
Antártica,2020-04-08,0,0,NA,NA,minsal
Antártica,2020-04-09,0,0,NA,NA,minsal
Antártica,2020-04-10,0,0,NA,NA,minsal
Antártica,2020-04-11,0,0,NA,NA,minsal
Antártica,2020-04-12,0,0,NA,NA,minsal
Antártica,2020-04-13,0,0,NA,NA,minsal
Antártica,2020-04-14,0,0,NA,NA,minsal
Antártica,2020-04-15,0,0,NA,NA,minsal
Antártica,2020-04-16,0,0,NA,NA,minsal
Antártica,2020-04-17,0,0,NA,NA,minsal
Antártica,2020-04-18,0,0,NA,NA,minsal
Antártica,2020-04-19,0,0,NA,NA,minsal
Antártica,2020-04-20,0,0,NA,NA,minsal
Antártica,2020-04-21,0,0,NA,NA,minsal
Antártica,2020-04-22,0,0,NA,NA,minsal
Antártica,2020-04-23,0,0,NA,NA,minsal
Antártica,2020-04-24,0,0,NA,NA,minsal
Antofagasta,2020-03-30,29,0,NA,NA,minsal
Antofagasta,2020-03-31,45,16,NA,NA,minsal
Antofagasta,2020-04-01,61,16,NA,NA,minsal
Antofagasta,2020-04-02,83,22,NA,NA,minsal
Antofagasta,2020-04-03,105,22,NA,NA,minsal
Antofagasta,2020-04-04,123,18,NA,NA,minsal
Antofagasta,2020-04-05,141,18,NA,NA,minsal
Antofagasta,2020-04-06,159,18,NA,NA,minsal
Antofagasta,2020-04-07,189,30,NA,NA,minsal
Antofagasta,2020-04-08,219,30,NA,NA,minsal
Antofagasta,2020-04-09,260,41,NA,NA,minsal
Antofagasta,2020-04-10,301,41,NA,NA,minsal
Antofagasta,2020-04-11,336.3333333333333,35.333333333333314,NA,NA,minsal
Antofagasta,2020-04-12,371.66666666666663,35.333333333333314,NA,NA,minsal
Antofagasta,2020-04-13,407,35.33333333333337,NA,NA,minsal
Antofagasta,2020-04-14,468,61,NA,NA,minsal
Antofagasta,2020-04-15,529,61,NA,NA,minsal
Antofagasta,2020-04-16,601.5,72.5,NA,NA,minsal
Antofagasta,2020-04-17,674,72.5,NA,NA,minsal
Antofagasta,2020-04-18,735.3333333333334,61.33333333333337,NA,NA,minsal
Antofagasta,2020-04-19,796.6666666666666,61.33333333333326,NA,NA,minsal
Antofagasta,2020-04-20,858,61.33333333333337,NA,NA,minsal
Antofagasta,2020-04-21,923.25,65.25,NA,NA,minsal
Antofagasta,2020-04-22,988.5,65.25,NA,NA,minsal
Antofagasta,2020-04-23,1053.75,65.25,NA,NA,minsal
Antofagasta,2020-04-24,1119,65.25,NA,NA,minsal
Antuco,2020-03-30,0,0,NA,NA,minsal
Antuco,2020-03-31,0,0,NA,NA,minsal
Antuco,2020-04-01,0,0,NA,NA,minsal
Antuco,2020-04-02,0,0,NA,NA,minsal
Antuco,2020-04-03,0,0,NA,NA,minsal
Antuco,2020-04-04,0,0,NA,NA,minsal
Antuco,2020-04-05,0,0,NA,NA,minsal
Antuco,2020-04-06,0,0,NA,NA,minsal
Antuco,2020-04-07,0,0,NA,NA,minsal
Antuco,2020-04-08,0,0,NA,NA,minsal
Antuco,2020-04-09,0,0,NA,NA,minsal
Antuco,2020-04-10,0,0,NA,NA,minsal
Antuco,2020-04-11,0,0,NA,NA,minsal
Antuco,2020-04-12,0,0,NA,NA,minsal
Antuco,2020-04-13,0,0,NA,NA,minsal
Antuco,2020-04-14,0,0,NA,NA,minsal
Antuco,2020-04-15,0,0,NA,NA,minsal
Antuco,2020-04-16,0,0,NA,NA,minsal
Antuco,2020-04-17,0,0,NA,NA,minsal
Antuco,2020-04-18,0,0,NA,NA,minsal
Antuco,2020-04-19,0,0,NA,NA,minsal
Antuco,2020-04-20,0,0,NA,NA,minsal
Antuco,2020-04-21,0,0,NA,NA,minsal
Antuco,2020-04-22,0,0,NA,NA,minsal
Antuco,2020-04-23,0,0,NA,NA,minsal
Antuco,2020-04-24,0,0,NA,NA,minsal
Arauco,2020-03-30,0,0,NA,NA,minsal
Arauco,2020-03-31,2.5,2.5,NA,NA,minsal
Arauco,2020-04-01,5,2.5,NA,NA,minsal
Arauco,2020-04-02,8,3,NA,NA,minsal
Arauco,2020-04-03,11,3,NA,NA,minsal
Arauco,2020-04-04,13,2,NA,NA,minsal
Arauco,2020-04-05,15,2,NA,NA,minsal
Arauco,2020-04-06,17,2,NA,NA,minsal
Arauco,2020-04-07,20,3,NA,NA,minsal
Arauco,2020-04-08,23,3,NA,NA,minsal
Arauco,2020-04-09,26,3,NA,NA,minsal
Arauco,2020-04-10,29,3,NA,NA,minsal
Arauco,2020-04-11,31,2,NA,NA,minsal
Arauco,2020-04-12,33,2,NA,NA,minsal
Arauco,2020-04-13,35,2,NA,NA,minsal
Arauco,2020-04-14,37.5,2.5,NA,NA,minsal
Arauco,2020-04-15,40,2.5,NA,NA,minsal
Arauco,2020-04-16,43,3,NA,NA,minsal
Arauco,2020-04-17,46,3,NA,NA,minsal
Arauco,2020-04-18,48,2,NA,NA,minsal
Arauco,2020-04-19,50,2,NA,NA,minsal
Arauco,2020-04-20,52,2,NA,NA,minsal
Arauco,2020-04-21,53.5,1.5,NA,NA,minsal
Arauco,2020-04-22,55,1.5,NA,NA,minsal
Arauco,2020-04-23,56.5,1.5,NA,NA,minsal
Arauco,2020-04-24,58,1.5,NA,NA,minsal
Arica,2020-03-30,6,0,NA,NA,minsal
Arica,2020-03-31,9,3,NA,NA,minsal
Arica,2020-04-01,12,3,NA,NA,minsal
Arica,2020-04-02,18,6,NA,NA,minsal
Arica,2020-04-03,24,6,NA,NA,minsal
Arica,2020-04-04,37.666666666666664,13.666666666666664,NA,NA,minsal
Arica,2020-04-05,51.33333333333333,13.666666666666664,NA,NA,minsal
Arica,2020-04-06,65,13.666666666666671,NA,NA,minsal
Arica,2020-04-07,96.5,31.5,NA,NA,minsal
Arica,2020-04-08,128,31.5,NA,NA,minsal
Arica,2020-04-09,171.5,43.5,NA,NA,minsal
Arica,2020-04-10,215,43.5,NA,NA,minsal
Arica,2020-04-11,253.33333333333331,38.333333333333314,NA,NA,minsal
Arica,2020-04-12,291.66666666666663,38.333333333333314,NA,NA,minsal
Arica,2020-04-13,330,38.33333333333337,NA,NA,minsal
Arica,2020-04-14,392,62,NA,NA,minsal
Arica,2020-04-15,454,62,NA,NA,minsal
Arica,2020-04-16,521,67,NA,NA,minsal
Arica,2020-04-17,588,67,NA,NA,minsal
Arica,2020-04-18,643.3333333333334,55.33333333333337,NA,NA,minsal
Arica,2020-04-19,698.6666666666666,55.33333333333326,NA,NA,minsal
Arica,2020-04-20,754,55.33333333333337,NA,NA,minsal
Arica,2020-04-21,810,56,NA,NA,minsal
Arica,2020-04-22,866,56,NA,NA,minsal
Arica,2020-04-23,922,56,NA,NA,minsal
Arica,2020-04-24,978,56,NA,NA,minsal
Buin,2020-03-30,7,0,NA,NA,minsal
Buin,2020-03-31,11,4,NA,NA,minsal
Buin,2020-04-01,15,4,NA,NA,minsal
Buin,2020-04-02,22,7,NA,NA,minsal
Buin,2020-04-03,29,7,NA,NA,minsal
Buin,2020-04-04,35.666666666666664,6.666666666666664,NA,NA,minsal
Buin,2020-04-05,42.33333333333333,6.666666666666664,NA,NA,minsal
Buin,2020-04-06,49,6.666666666666671,NA,NA,minsal
Buin,2020-04-07,59,10,NA,NA,minsal
Buin,2020-04-08,69,10,NA,NA,minsal
Buin,2020-04-09,83.5,14.5,NA,NA,minsal
Buin,2020-04-10,98,14.5,NA,NA,minsal
Buin,2020-04-11,110,12,NA,NA,minsal
Buin,2020-04-12,122,12,NA,NA,minsal
Buin,2020-04-13,134,12,NA,NA,minsal
Buin,2020-04-14,154,20,NA,NA,minsal
Buin,2020-04-15,174,20,NA,NA,minsal
Buin,2020-04-16,195.5,21.5,NA,NA,minsal
Buin,2020-04-17,217,21.5,NA,NA,minsal
Buin,2020-04-18,232.66666666666666,15.666666666666657,NA,NA,minsal
Buin,2020-04-19,248.33333333333334,15.666666666666686,NA,NA,minsal
Buin,2020-04-20,264,15.666666666666657,NA,NA,minsal
Buin,2020-04-21,277.25,13.25,NA,NA,minsal
Buin,2020-04-22,290.5,13.25,NA,NA,minsal
Buin,2020-04-23,303.75,13.25,NA,NA,minsal
Buin,2020-04-24,317,13.25,NA,NA,minsal
Bulnes,2020-03-30,12,0,NA,NA,minsal
Bulnes,2020-03-31,21,9,NA,NA,minsal
Bulnes,2020-04-01,30,9,NA,NA,minsal
Bulnes,2020-04-02,46,16,NA,NA,minsal
Bulnes,2020-04-03,62,16,NA,NA,minsal
Bulnes,2020-04-04,74,12,NA,NA,minsal
Bulnes,2020-04-05,86,12,NA,NA,minsal
Bulnes,2020-04-06,98,12,NA,NA,minsal
Bulnes,2020-04-07,120.5,22.5,NA,NA,minsal
Bulnes,2020-04-08,143,22.5,NA,NA,minsal
Bulnes,2020-04-09,167,24,NA,NA,minsal
Bulnes,2020-04-10,191,24,NA,NA,minsal
Bulnes,2020-04-11,207,16,NA,NA,minsal
Bulnes,2020-04-12,223,16,NA,NA,minsal
Bulnes,2020-04-13,239,16,NA,NA,minsal
Bulnes,2020-04-14,263,24,NA,NA,minsal
Bulnes,2020-04-15,287,24,NA,NA,minsal
Bulnes,2020-04-16,311,24,NA,NA,minsal
Bulnes,2020-04-17,335,24,NA,NA,minsal
Bulnes,2020-04-18,353,18,NA,NA,minsal
Bulnes,2020-04-19,371,18,NA,NA,minsal
Bulnes,2020-04-20,389,18,NA,NA,minsal
Bulnes,2020-04-21,403.75,14.75,NA,NA,minsal
Bulnes,2020-04-22,418.5,14.75,NA,NA,minsal
Bulnes,2020-04-23,433.25,14.75,NA,NA,minsal
Bulnes,2020-04-24,448,14.75,NA,NA,minsal
Cabildo,2020-03-30,0,0,NA,NA,minsal
Cabildo,2020-03-31,0,0,NA,NA,minsal
Cabildo,2020-04-01,0,0,NA,NA,minsal
Cabildo,2020-04-02,0,0,NA,NA,minsal
Cabildo,2020-04-03,0,0,NA,NA,minsal
Cabildo,2020-04-04,0,0,NA,NA,minsal
Cabildo,2020-04-05,0,0,NA,NA,minsal
Cabildo,2020-04-06,0,0,NA,NA,minsal
Cabildo,2020-04-07,0,0,NA,NA,minsal
Cabildo,2020-04-08,0,0,NA,NA,minsal
Cabildo,2020-04-09,0,0,NA,NA,minsal
Cabildo,2020-04-10,0,0,NA,NA,minsal
Cabildo,2020-04-11,0,0,NA,NA,minsal
Cabildo,2020-04-12,0,0,NA,NA,minsal
Cabildo,2020-04-13,0,0,NA,NA,minsal
Cabildo,2020-04-14,0,0,NA,NA,minsal
Cabildo,2020-04-15,0,0,NA,NA,minsal
Cabildo,2020-04-16,0,0,NA,NA,minsal
Cabildo,2020-04-17,0,0,NA,NA,minsal
Cabildo,2020-04-18,0.3333333333333333,0.3333333333333333,NA,NA,minsal
Cabildo,2020-04-19,0.6666666666666666,0.3333333333333333,NA,NA,minsal
Cabildo,2020-04-20,1,0.33333333333333337,NA,NA,minsal
Cabildo,2020-04-21,1,0,NA,NA,minsal
Cabildo,2020-04-22,1,0,NA,NA,minsal
Cabildo,2020-04-23,1,0,NA,NA,minsal
Cabildo,2020-04-24,1,0,NA,NA,minsal
Cabo de Hornos,2020-03-30,5,0,NA,NA,minsal
Cabo de Hornos,2020-03-31,8,3,NA,NA,minsal
Cabo de Hornos,2020-04-01,11,3,NA,NA,minsal
Cabo de Hornos,2020-04-02,14,3,NA,NA,minsal
Cabo de Hornos,2020-04-03,17,3,NA,NA,minsal
Cabo de Hornos,2020-04-04,20.333333333333332,3.333333333333332,NA,NA,minsal
Cabo de Hornos,2020-04-05,23.666666666666664,3.333333333333332,NA,NA,minsal
Cabo de Hornos,2020-04-06,27,3.3333333333333357,NA,NA,minsal
Cabo de Hornos,2020-04-07,32.5,5.5,NA,NA,minsal
Cabo de Hornos,2020-04-08,38,5.5,NA,NA,minsal
Cabo de Hornos,2020-04-09,44.5,6.5,NA,NA,minsal
Cabo de Hornos,2020-04-10,51,6.5,NA,NA,minsal
Cabo de Hornos,2020-04-11,57,6,NA,NA,minsal
Cabo de Hornos,2020-04-12,63,6,NA,NA,minsal
Cabo de Hornos,2020-04-13,69,6,NA,NA,minsal
Cabo de Hornos,2020-04-14,78,9,NA,NA,minsal
Cabo de Hornos,2020-04-15,87,9,NA,NA,minsal
Cabo de Hornos,2020-04-16,96,9,NA,NA,minsal
Cabo de Hornos,2020-04-17,105,9,NA,NA,minsal
Cabo de Hornos,2020-04-18,110.66666666666667,5.666666666666671,NA,NA,minsal
Cabo de Hornos,2020-04-19,116.33333333333333,5.666666666666657,NA,NA,minsal
Cabo de Hornos,2020-04-20,122,5.666666666666671,NA,NA,minsal
Cabo de Hornos,2020-04-21,126.25,4.25,NA,NA,minsal
Cabo de Hornos,2020-04-22,130.5,4.25,NA,NA,minsal
Cabo de Hornos,2020-04-23,134.75,4.25,NA,NA,minsal
Cabo de Hornos,2020-04-24,139,4.25,NA,NA,minsal
Cabrero,2020-03-30,0,0,NA,NA,minsal
Cabrero,2020-03-31,0,0,NA,NA,minsal
Cabrero,2020-04-01,0,0,NA,NA,minsal
Cabrero,2020-04-02,0.5,0.5,NA,NA,minsal
Cabrero,2020-04-03,1,0.5,NA,NA,minsal
Cabrero,2020-04-04,1.3333333333333333,0.33333333333333326,NA,NA,minsal
Cabrero,2020-04-05,1.6666666666666665,0.33333333333333326,NA,NA,minsal
Cabrero,2020-04-06,2,0.3333333333333335,NA,NA,minsal
Cabrero,2020-04-07,2.5,0.5,NA,NA,minsal
Cabrero,2020-04-08,3,0.5,NA,NA,minsal
Cabrero,2020-04-09,5,2,NA,NA,minsal
Cabrero,2020-04-10,7,2,NA,NA,minsal
