country,time,cases_sum,cases_diff,deaths_sum,deaths_diff,source
Aisén,2020-03-30,0,0,NA,NA,minsal
Aisén,2020-03-31,0.5,0.5,NA,NA,minsal
Aisén,2020-04-01,1,0.5,NA,NA,minsal
Aisén,2020-04-02,3,2,NA,NA,minsal
Aisén,2020-04-03,5,2,NA,NA,minsal
Aisén,2020-04-04,6.666666666666666,1.666666666666666,NA,NA,minsal
Aisén,2020-04-05,8.333333333333332,1.666666666666666,NA,NA,minsal
Aisén,2020-04-06,10,1.6666666666666679,NA,NA,minsal
Aisén,2020-04-07,12,2,NA,NA,minsal
Aisén,2020-04-08,14,2,NA,NA,minsal
Aisén,2020-04-09,16,2,NA,NA,minsal
Aisén,2020-04-10,18,2,NA,NA,minsal
Aisén,2020-04-11,19,1,NA,NA,minsal
Aisén,2020-04-12,20,1,NA,NA,minsal
Aisén,2020-04-13,21,1,NA,NA,minsal
Aisén,2020-04-14,22.5,1.5,NA,NA,minsal
Aisén,2020-04-15,24,1.5,NA,NA,minsal
Aisén,2020-04-16,25.5,1.5,NA,NA,minsal
Aisén,2020-04-17,27,1.5,NA,NA,minsal
Aisén,2020-04-18,27.333333333333332,0.33333333333333215,NA,NA,minsal
Aisén,2020-04-19,27.666666666666668,0.3333333333333357,NA,NA,minsal
Aisén,2020-04-20,28,0.33333333333333215,NA,NA,minsal
Aisén,2020-04-21,28.25,0.25,NA,NA,minsal
Aisén,2020-04-22,28.5,0.25,NA,NA,minsal
Aisén,2020-04-23,28.75,0.25,NA,NA,minsal
Aisén,2020-04-24,29,0.25,NA,NA,minsal
Algarrobo,2020-03-30,7,0,NA,NA,minsal
Algarrobo,2020-03-31,10.5,3.5,NA,NA,minsal
Algarrobo,2020-04-01,14,3.5,NA,NA,minsal
Algarrobo,2020-04-02,18.5,4.5,NA,NA,minsal
Algarrobo,2020-04-03,23,4.5,NA,NA,minsal
Algarrobo,2020-04-04,26,3,NA,NA,minsal
Algarrobo,2020-04-05,29,3,NA,NA,minsal
Algarrobo,2020-04-06,32,3,NA,NA,minsal
Algarrobo,2020-04-07,36,4,NA,NA,minsal
Algarrobo,2020-04-08,40,4,NA,NA,minsal
Algarrobo,2020-04-09,44,4,NA,NA,minsal
Algarrobo,2020-04-10,48,4,NA,NA,minsal
Algarrobo,2020-04-11,50.666666666666664,2.6666666666666643,NA,NA,minsal
Algarrobo,2020-04-12,53.333333333333336,2.6666666666666714,NA,NA,minsal
Algarrobo,2020-04-13,56,2.6666666666666643,NA,NA,minsal
Algarrobo,2020-04-14,60.5,4.5,NA,NA,minsal
Algarrobo,2020-04-15,65,4.5,NA,NA,minsal
Algarrobo,2020-04-16,69.5,4.5,NA,NA,minsal
Algarrobo,2020-04-17,74,4.5,NA,NA,minsal
Algarrobo,2020-04-18,77,3,NA,NA,minsal
Algarrobo,2020-04-19,80,3,NA,NA,minsal
Algarrobo,2020-04-20,83,3,NA,NA,minsal
Algarrobo,2020-04-21,85.25,2.25,NA,NA,minsal
Algarrobo,2020-04-22,87.5,2.25,NA,NA,minsal
Algarrobo,2020-04-23,89.75,2.25,NA,NA,minsal
Algarrobo,2020-04-24,92,2.25,NA,NA,minsal
Alhué,2020-03-30,0,0,NA,NA,minsal
Alhué,2020-03-31,0,0,NA,NA,minsal
Alhué,2020-04-01,0,0,NA,NA,minsal
Alhué,2020-04-02,0,0,NA,NA,minsal
Alhué,2020-04-03,0,0,NA,NA,minsal
Alhué,2020-04-04,0,0,NA,NA,minsal
Alhué,2020-04-05,0,0,NA,NA,minsal
Alhué,2020-04-06,0,0,NA,NA,minsal
Alhué,2020-04-07,0,0,NA,NA,minsal
Alhué,2020-04-08,0,0,NA,NA,minsal
Alhué,2020-04-09,0,0,NA,NA,minsal
Alhué,2020-04-10,0,0,NA,NA,minsal
Alhué,2020-04-11,0,0,NA,NA,minsal
Alhué,2020-04-12,0,0,NA,NA,minsal
Alhué,2020-04-13,0,0,NA,NA,minsal
Alhué,2020-04-14,0,0,NA,NA,minsal
Alhué,2020-04-15,0,0,NA,NA,minsal
Alhué,2020-04-16,0,0,NA,NA,minsal
Alhué,2020-04-17,0,0,NA,NA,minsal
Alhué,2020-04-18,0,0,NA,NA,minsal
Alhué,2020-04-19,0,0,NA,NA,minsal
Alhué,2020-04-20,0,0,NA,NA,minsal
Alhué,2020-04-21,0,0,NA,NA,minsal
Alhué,2020-04-22,0,0,NA,NA,minsal
Alhué,2020-04-23,0,0,NA,NA,minsal
Alhué,2020-04-24,0,0,NA,NA,minsal
Alto Biobío,2020-03-30,0,0,NA,NA,minsal
